"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=Serpentes"
"Access Time","Fri 2017-02-03 06:22:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Serpentes"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.128"
"Records Found","2575"
"Records Returned","2575"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"287867","occ","","","20402","Lampropeltis getulus","species","110828","","Lampropeltis getulus","species","110827","Irvingtonian","","1.8","0.3","769"
"287868","occ","","","20402","Colubrinae indet.","subfamily","53080","","Colubrinae","subfamily","53080","Irvingtonian","","1.8","0.3","769"
"287869","occ","","","20402","Farancia sp.","genus","67527","","Farancia","genus","67527","Irvingtonian","","1.8","0.3","769"
"287870","occ","","","20402","cf. Agkistrodon piscivorous","species","53085","","Agkistrodon piscivorous","species","53085","Irvingtonian","","1.8","0.3","769"
"287871","occ","","","20402","Sistrurus miliarius","species","113770","species not entered","Sistrurus","genus","113770","Irvingtonian","","1.8","0.3","769"
"287882","occ","","","18663","Erycinae indet.","family","67485","invalid subgroup of","Boidae","family","38086","Aquitanian","","23.03","20.44","742"
"287883","occ","","","18663","Anilioides cf. nebraskensis","species","260465","","Anilioides nebraskensis","species","260465","Aquitanian","","23.03","20.44","742"
"288041","occ","","","27507","Geringophis depressus","species","68116","","Geringophis depressus","species","68116","Barstovian","","15.97","13.6","7572"
"288042","occ","","","27507","Paleoheterodon tiheni","species","111000","","Paleoheterodon tiheni","species","111000","Barstovian","","15.97","13.6","7572"
"288043","occ","","","27507","Elaphe nebraskensis","species","111001","","Elaphe nebraskensis","species","111001","Barstovian","","15.97","13.6","7572"
"288044","occ","","","27507","Lampropeltis similis","species","178474","","Lampropeltis similis","species","178474","Barstovian","","15.97","13.6","7572"
"288045","occ","","","27507","Salvadora paleolineata","species","110880","","Salvadora paleolineata","species","110880","Barstovian","","15.97","13.6","7572"
"288046","occ","","","27507","Natricinae indet.","subfamily","53081","","Natricinae","subfamily","53081","Barstovian","","15.97","13.6","7572"
"288062","occ","","","18397","Ogmophis miocompactus","species","68096","","Ogmophis miocompactus","species","68096","Barstovian","","15.97","13.6","7574"
"288063","occ","","","18397","Charina prebottae","species","68098","","Charina prebottae","species","68098","Barstovian","","15.97","13.6","7574"
"288064","occ","","","18397","Paleoheterodon tiheni","species","111000","","Paleoheterodon tiheni","species","111000","Barstovian","","15.97","13.6","7574"
"288065","occ","","","18397","Neonatrix elongata","species","110881","","Neonatrix elongata","species","110881","Barstovian","","15.97","13.6","7574"
"288066","occ","","","18397","Dakotaophis greeni","species","38130","species not entered","Dakotaophis","genus","38130","Barstovian","","15.97","13.6","7574"
